prod_id,qty,price,discount,member,txn_id,start_txn_time
c4a632,4,13,17,TRUE,54f307,13-02-2021 01:59:43
5d267b,4,40,17,TRUE,54f307,13-02-2021 01:59:43
b9a74d,4,17,17,TRUE,54f307,13-02-2021 01:59:43
2feb6b,2,29,17,TRUE,54f307,13-02-2021 01:59:43
c4a632,5,13,21,TRUE,26cc98,19-01-2021 01:39:00
e31d39,2,10,21,TRUE,26cc98,19-01-2021 01:39:00
72f5d4,3,19,21,TRUE,26cc98,19-01-2021 01:39:00
2a2353,3,57,21,TRUE,26cc98,19-01-2021 01:39:00
f084eb,3,36,21,TRUE,26cc98,19-01-2021 01:39:00
c4a632,1,13,21,FALSE,ef648d,27-01-2021 02:18:17
e83aa3,5,32,21,FALSE,ef648d,27-01-2021 02:18:17
d5e9a6,1,23,21,FALSE,ef648d,27-01-2021 02:18:17
72f5d4,1,19,21,FALSE,ef648d,27-01-2021 02:18:17
5d267b,3,40,21,FALSE,ef648d,27-01-2021 02:18:17
f084eb,4,36,21,FALSE,ef648d,27-01-2021 02:18:17
b9a74d,4,17,21,FALSE,ef648d,27-01-2021 02:18:17
c4a632,2,13,23,TRUE,fba96f,03-03-2021 00:32:56
e31d39,5,10,23,TRUE,fba96f,03-03-2021 00:32:56
9ec847,3,54,23,TRUE,fba96f,03-03-2021 00:32:56
f084eb,4,36,23,TRUE,fba96f,03-03-2021 00:32:56
2feb6b,2,29,23,TRUE,fba96f,03-03-2021 00:32:56
c4a632,5,13,11,TRUE,4e9268,23-01-2021 14:18:54
e31d39,4,10,11,TRUE,4e9268,23-01-2021 14:18:54
72f5d4,5,19,11,TRUE,4e9268,23-01-2021 14:18:54
f084eb,2,36,11,TRUE,4e9268,23-01-2021 14:18:54
b9a74d,2,17,11,TRUE,4e9268,23-01-2021 14:18:54
e83aa3,4,32,4,TRUE,9717d4,29-01-2021 07:22:13
d5e9a6,2,23,4,TRUE,9717d4,29-01-2021 07:22:13
c8d436,4,10,4,TRUE,9717d4,29-01-2021 07:22:13
2a2353,1,57,4,TRUE,9717d4,29-01-2021 07:22:13
f084eb,1,36,4,TRUE,9717d4,29-01-2021 07:22:13
72f5d4,3,19,14,FALSE,e9a1dd,28-03-2021 20:01:43
9ec847,3,54,14,FALSE,e9a1dd,28-03-2021 20:01:43
2a2353,4,57,14,FALSE,e9a1dd,28-03-2021 20:01:43
f084eb,2,36,14,FALSE,e9a1dd,28-03-2021 20:01:43
c4a632,3,13,6,FALSE,003ea6,20-01-2021 14:21:01
e31d39,3,10,6,FALSE,003ea6,20-01-2021 14:21:01
d5e9a6,3,23,6,FALSE,003ea6,20-01-2021 14:21:01
9ec847,3,54,6,FALSE,003ea6,20-01-2021 14:21:01
e31d39,5,10,20,FALSE,5d749c,28-03-2021 22:24:26
d5e9a6,4,23,20,FALSE,5d749c,28-03-2021 22:24:26
5d267b,5,40,20,FALSE,5d749c,28-03-2021 22:24:26
2a2353,4,57,20,FALSE,5d749c,28-03-2021 22:24:26
f084eb,2,36,20,FALSE,5d749c,28-03-2021 22:24:26
d5e9a6,5,23,14,FALSE,cf6517,21-02-2021 21:45:33
72f5d4,1,19,14,FALSE,cf6517,21-02-2021 21:45:33
5d267b,5,40,14,FALSE,cf6517,21-02-2021 21:45:33
b9a74d,3,17,14,FALSE,cf6517,21-02-2021 21:45:33
c4a632,5,13,19,TRUE,48b9d7,26-02-2021 06:49:17
e83aa3,2,32,19,TRUE,48b9d7,26-02-2021 06:49:17
e31d39,1,10,19,TRUE,48b9d7,26-02-2021 06:49:17
d5e9a6,2,23,19,TRUE,48b9d7,26-02-2021 06:49:17
5d267b,5,40,19,TRUE,48b9d7,26-02-2021 06:49:17
c8d436,1,10,19,TRUE,48b9d7,26-02-2021 06:49:17
2a2353,3,57,19,TRUE,48b9d7,26-02-2021 06:49:17
b9a74d,1,17,19,TRUE,48b9d7,26-02-2021 06:49:17
2feb6b,5,29,19,TRUE,48b9d7,26-02-2021 06:49:17
72f5d4,3,19,5,TRUE,47251d,27-01-2021 22:53:11
5d267b,5,40,5,TRUE,47251d,27-01-2021 22:53:11
2a2353,5,57,5,TRUE,47251d,27-01-2021 22:53:11
f084eb,2,36,5,TRUE,47251d,27-01-2021 22:53:11
e83aa3,4,32,15,FALSE,c75ea6,03-03-2021 04:17:20
e31d39,5,10,15,FALSE,c75ea6,03-03-2021 04:17:20
72f5d4,2,19,15,FALSE,c75ea6,03-03-2021 04:17:20
9ec847,4,54,15,FALSE,c75ea6,03-03-2021 04:17:20
5d267b,1,40,15,FALSE,c75ea6,03-03-2021 04:17:20
f084eb,5,36,15,FALSE,c75ea6,03-03-2021 04:17:20
b9a74d,4,17,15,FALSE,c75ea6,03-03-2021 04:17:20
2feb6b,5,29,15,FALSE,c75ea6,03-03-2021 04:17:20
c4a632,1,13,10,TRUE,84a0f1,19-03-2021 23:33:38
e31d39,4,10,10,TRUE,84a0f1,19-03-2021 23:33:38
9ec847,5,54,10,TRUE,84a0f1,19-03-2021 23:33:38
b9a74d,2,17,10,TRUE,84a0f1,19-03-2021 23:33:38
2feb6b,1,29,10,TRUE,84a0f1,19-03-2021 23:33:38
c4a632,4,13,9,FALSE,786c60,13-01-2021 08:41:16
e83aa3,1,32,9,FALSE,786c60,13-01-2021 08:41:16
e31d39,4,10,9,FALSE,786c60,13-01-2021 08:41:16
d5e9a6,4,23,9,FALSE,786c60,13-01-2021 08:41:16
72f5d4,1,19,9,FALSE,786c60,13-01-2021 08:41:16
9ec847,2,54,9,FALSE,786c60,13-01-2021 08:41:16
c8d436,5,10,9,FALSE,786c60,13-01-2021 08:41:16
2a2353,4,57,9,FALSE,786c60,13-01-2021 08:41:16
f084eb,1,36,9,FALSE,786c60,13-01-2021 08:41:16
b9a74d,2,17,9,FALSE,786c60,13-01-2021 08:41:16
c4a632,1,13,13,TRUE,500bf9,08-03-2021 02:41:15
d5e9a6,1,23,13,TRUE,500bf9,08-03-2021 02:41:15
9ec847,4,54,13,TRUE,500bf9,08-03-2021 02:41:15
